Title,Description,Author,Editors,Date,Keywords,Publisher,Relation-Is Part Of,Source,Contributing Institution,Resource Identifier,Rights,Standardized Rights,Type,Format Digital,Language,Date Digital,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
A Guide to Seedling Selection [September 2010],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations. The guide also provides insight into various tree grower issues including weeds and animal damage. At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Davis, Anthony S.; Brusven, Annette D.L.",,2010-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Natural Resources;,uifwre-mp18_2010,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/35,35,130.pdf,/fwres/image/130.pdf
Directory of Idaho Wood Products Manufacturers [November 1994],"This Directory of Idaho Wood Products Manufacturers has been prepared to assist in marketing the wide variety of wood products produced in Idaho. Firms listed range from primary wood-products manufacturers to specialized-niche product producers. Data for this directory were collected during August-October, 1994. There are two sections to this directory. The first is an alphabetical listing of all of Idaho's wood products manufacturers. This first section also contains summaries of each company's operations, giving background information on products, equipment, and the size and type of each operation. The second section of the directory categorizes each company by the products it manufactures. This format makes it easy to locate the companies that manufacture specific products of interest.","Wagner, Francis G.; Gorman, Thomas M.; Dickson, Allan D.",,1994-11-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 19,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp19,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/36,36,131.pdf,/fwres/image/131.pdf
"The Idaho Forest Owners Assistance Directory Forestry Educational, Technical, and Financial Assistance Programs for Idaho Forest Landowners",Forestry educational and assistance programs are available to Idaho Landowners from a variety of sources. This publication is meant to help readers understand where the assistance they may need can be obtained.,"Carree, Yvonne; Schnepf, Chris; Osborne, Sandra",,1996-10-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 66,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-sb66,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/37,37,132.pdf,/fwres/image/132.pdf
Landscaping for Wildfire Prevention Protecting Homes on the Wildland/Urban Interface,"This publication is designed to help you (homeowners in wildland/urban interfaces) minimize the risks of losing your home from wildfire. The first step is to understand wildfire and how homes are destroyed. Next, consider the fire resistiveness of your","Carree, Yvonne; Schnepf, Chris; Colt, Michael W.",,1998-03-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 67,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-sb67_1998,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/38,38,133.pdf,/fwres/image/133.pdf
A Guide to Seedling Selection [September 2008],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations. The guide also provides insight into various tree grower issues including weeds and animal damage. At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Davis, Anthony S.; Brusven, Annette D.L.",,2008-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Natural Resources;,uifwre-mp18_2008,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/39,39,134.pdf,/fwres/image/134.pdf
Protecting and Landscaping Homes in the Wildland/Urban Interface,"This publication is designed to help you (homeowners in wildland/urban interfaces) minimize the risks of losing your home from wildfire. The first step is to understand wildfire and how homes are destroyed. Next, consider the fire receptiveness of your house and the surrounding landscape, and take the necessary steps to minimize your home ignition potential. After taking care of your home and immediate surroundings, you can move out into your surrounding forest or rangeland and take additional steps to minimize your risk.","Barclay, Yvonne C.; Schnepf, Chris; Cohen, Jack",,2005-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 67,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-sb67_2005,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/40,40,135.pdf,/fwres/image/135.pdf
Idaho's Wood Products Industry: Current Conditions and Forecast,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry. The report includes several illustrative graphs.","Keegan, Charles E. III; Wagner, Francis G.; Blatner, Keith A.; Shook, Steve",,1999-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 69,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb69,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/41,41,136.pdf,/fwres/image/136.pdf
Proceedings - Grazing Behavior of Livestock and Wildlife,"This bulletin contains 18 different research papers related to the topic of Grazing Behavior of Livestock and Wildlife, as well as abstracts of poster presentations. Paper titles are as follows; Foraging on the Edge of Chaos, Making Sense of Animal Conditioning, Grazers and Browsers: How Digestive Morphology Affects Diet Selection, Foraging Behavior: Experience or Inheritance?, Manipulating Diet Selection to Control Weeds, Behavioral Strategies for Coping with Poisonous Plants, Behavioral Approaches for Limiting Depredation by Wild Ungulates, Plant Attributes that Affect Livestock Selection and Intake, Using Stock dogs for Low Stress Livestock Handling, Low Stress Livestock Handling, Some Basic Principles of Habitat Use, Impact of Spatial Memory on Habitat Use, Influence of Species, Breed and Type of Animal on Habitat Selection, Influence of Social Dominance on Habitat Selection by Free-Ranging Ungulates, Management Strategies for Optimal Beef Cattle Distribution and Use of Mountain Riparian Meadows, Livestock-Big Game Relationships: Conflicts and Compatibilities, Livestock, Wildlife, Plants and Landscapes: Putting It All Together.",,"Launchbaugh, K.L., Mosley, J.C., Sanders, K.D.",1999-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 70,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Montana State University; Oregon State University; Washington State University;,uifwre-sb70,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/42,42,137.pdf,/fwres/image/137.pdf
Idaho's Forest Products Industry: Current Conditions and Forecast 2000,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry. The report includes several illustrative graphs.","Keegan, Charles E. III; Wagner, Francis G.; Blatner, Keith A.; Shook, Steve",,2000-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 71,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb71,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/43,43,138.pdf,/fwres/image/138.pdf
Return of the Giants Restoring White Pine Ecosystems by Breeding and Aggressive Planting of Blister Rust-Resistant White Pines,"An informational bulletin covering the Western White Pine, its ecology, importance, decline due to rust, historic and current efforts to restore white pine forests as well as predictions for the future of Western White Pine and further readings on the topic.","Fins, Lauren; Byler, James; Ferguson, Dennis; Harvey, Al; Mahalovich, Mary Francis; McDonald, Geral; Miller, Dan; Schwandt, John; Zack, Art",,2001,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 72,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-sb72,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/44,44,139.pdf,/fwres/image/139.pdf
"Lethal Effects of 1,888 Chemicals upon Four Species of Fish from Western North America","The bulletin describes the results of a pesticide screening program. It denotes the relative toxicity of 1,888 different chemicals lethal to four species of freshwater fish: northern squawfish, steelhead, Chinook salmon, and Coho salmon.","MacPhee, Craig; Ruelle, Richard",,1969-11-01,freshwater fish;,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 3,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Forestry-Wildlife and Range Sciences;,uifwre-b03,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/45,45,14.pdf,/fwres/image/14.pdf
Anti-Quality Factors in Rangeland and Pastureland Forages,"The goal of this publication is to review major anti-quality factors that influence livestock production on range and pasture lands. Anti-quality components of forages are quite simply any factor inherent in forage that limits the ability of a grazing animal to reach its potential for growth and reproduction. There are a number of frequently encountered effects of anti-quality factors such s bloat, mineral disorders, nitrate toxicity, poisonings from plant toxins such as glycosides or alkaloids, neurological effects, photosensitization, and disorders associated with microorganisms and insects. Lignin, tannins, thorns, and spatial arrangements of plants are also considered anti-quality attributes because they reduce intake or digestibility. This management bulletin is the outgrowth of a symposium on anti-quality attributes of rangeland and pastureland forages presented at the 1999 joint meeting of the American Forage and Grassland Council (AFGC) and the society for Range Management (SRM).",,"Launchbaugh, K.L.",2001-07-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 73,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Natural Resources Conservation Service; U.S. Department of Agriculture;,uifwre-sb73,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/46,46,140.pdf,/fwres/image/140.pdf
Idaho's Forest Products Industry: Current Conditions and Forecast 2001,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry. The report includes several illustrative graphs.","Keegan, Charles E. III; Gebert, Krista; Wagner, Francis G.; Blatner, Keith A.; Shook, Steve",,2001-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 75,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb75,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/47,47,141.pdf,/fwres/image/141.pdf
A Guide to Seedling Selection [September 2009],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations. The guide also provides insight into various tree grower issues including weeds and animal damage. At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Davis, Anthony S.; Brusven, Annette D.L.",,2009-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Natural Resources;,uifwre-mp18_2009,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/48,48,142.pdf,/fwres/image/142.pdf
After the Burn Assessing and Managing Your Forestland After a Wildfire,"This bulletin contains information on a variety of topics related to assessing and managing forestlands after a wildfire. Topics covered include: an introduction to forest types, fire in the forest, fire mechanics and behavior, fire and vegetation, fire and wildlife, fire and soils, fire and watersheds, fire and aquatic environments, forests after a fire.","Barkley, Yvonne C.",,2006-08-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 76,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",University of Idaho Extension;,uifwre-sb76,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/49,49,143.pdf,/fwres/image/143.pdf
Idaho's Forest Products Industry: Current Conditions and Forecast 2004,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry. The report includes several illustrative graphs.","Keegan, Charles E. III; Morgan, Todd A.; Wagner, Francis G.; Pavia, Joey K.; Shook, Steven R.; Blatner, Keith A.",,2004-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 81,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb81,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/50,50,144.pdf,/fwres/image/144.pdf
Shrub-Steppe Vegetation of the East Fork and the Middle Fork of the Salmon River Drainages,"Authors describe nineteen shrub-steppe communities in the Middle Fork and East Fork of the Salmon River, Idaho. Bluebunch wheatgrass (Pseudoroegneria spicata) and Idaho fescue (Festuca idahoensis) occur as dominants or major subdominants throughout the region. Big sagebrush (Artemesia tridentata), threetip sagebrush (A. tripartita), and low sagebrush (A.arbuscula) are dominants, especially in the East Fork and southern Middle Fork. Antelope bitterbrush (Purshia tridentata) communities exist throughout the region but are most abundant along the Middle Fork, where the species also occurs as a dominant in the understory of ponderosa pine (Pinus ponderosa) and Douglas fir (Pseudotsuga menziesii) stands on drier sites. Cliffy areas in all regions have curlleaf mountain mahogany (Cercocarpus ledifolius) and little greenbush (Glossopetalon nevadense) stands, reflecting the specialized habitats on which these communities occur. Shadscale saltbush (Atriplex confertifolia) communities occupy the driest sites in the lower East Fork. Common snowberry (Symphoricarpos albus), antelope bitterbrush, big sagebrush, threetip sagebrush, Idaho fescue, bluebunch wheatgrass, and needle-and-thread (Hesperostipa comata) are well represented in the plant communities. Bluebunch wheatgrass or Idaho fescue or both dominate grassland communities. Needle-and-thread dominates on some xeric, sandy sites. The presence of ponderosa pine or Douglas fir in shrub communities suggests these are successional stages of conifer-dominated community types. At least six conifer communities are represented in ten stands dominated by common snowberry, in thirteen dominated by ninebark (Physocarpus malvaceus), five dominated by Idaho fescue, and three dominated by mountain big sagebrush (Artemisia tridentata ssp. vaseyana). Seven sites exclosed between 1915 and 1950 provide evidence of reduction in shrubs and expansion of grassland and herbaceous portions of these communities in the Middle Fork. A record of a stand photographed in 1925, 1968, and 1988 appears to corroborate these findings. Changes in species composition of these communities are attributed to changes in species of herbivores, including livestock, mule deer, and elk; to alterations in the natural fire regime; and to weather patterns that affected woody and herbaceous plants differently over the period. The major fire of 2000 in the Middle Fork drainage appears to have increased cheatgrass (Bromus tectorum) at least temporarily, and to have reduced nonresprouting shrubs including big sagebrush, curlleaf mountain mahogany, and antelope bitterbrush. Subsequent establishment of new plants from seeds has occurred on sites burned in the most recent fires. Productivity of bluebunch wheatgrass was reduced for one year following the 2000 fire.","Peek, James M.; Yeo, Jeffrey J.; Hickey, William O.; Lauer, Jerry L.; Claar, James C.",,2005,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 82,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",The Nature Conservancy; Salmon National Forest; Umatilla Agency; U.S. Forest Service Region 1;,uifwre-sb82,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/51,51,145.pdf,/fwres/image/145.pdf
Idaho's Forest Products Industry: Current Conditions and Forecast 2005,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry. The report includes several illustrative graphs.","Keegan, Charles E. III; Brandt, Jason P.; Wagner, Francis G.; Pavia, Joey K.; Shook, Steven R.; Blatner, Keith A.",,2005-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 83,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb83,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/52,52,146.pdf,/fwres/image/146.pdf
Characteristics and Preferences of Recreationists in Selected Northern Idaho State Parks,"The note discusses a study that interviewed recreationists in northern Idaho parks to gain information on activity preferences, facility and service evaluations and preferences, and some tourist and economic data.","Alden, Howard R.",,1965-06-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 1, June 1965","Idaho QH76.5 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn01,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/53,53,147.pdf,/fwres/image/147.pdf
Range Land Seeding in Idaho,The note summarizes the range land seeded by federal agencies and private land owners in the state of Idaho using data collected by governmental agencies.,"Sharp, Lee A.",,1965-06-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 2, June 1965","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn02,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/54,54,148.pdf,/fwres/image/148.pdf
A Direct Seeding Experiment With Four Tree Species Native to Northern Idaho,"The note presents a study that sought to determine the synthesis of species, site preparation and time of seeding necessary for maximum forestation success.","Loewenstein, Howard; Pitkin, Franklin H.",,1966-05-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 3, May 1966","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn03,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/55,55,149.pdf,/fwres/image/149.pdf
Suggested Management Programs for Grazing Crested Wheatgrass,"The bulletin suggests management of crested wheatgrass rangeland based on grazing trials at the Point Springs experimental area. Included is information about general plant growth characteristics, limitations imposed on forage production by habitat conditions, and the relationship of forage production to alternative grazing practices, and the requirements of grazing animals and the livestock operation.","Sharp, Lee A.",,1970-03-01,Agropyron cristatum; wheatgrass;,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 4,"Idaho SD12.I2, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Forestry-Wildlife and Range Sciences;,uifwre-b04,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/56,56,15.pdf,/fwres/image/15.pdf
Cytospora Canker Of Planted Poplars,The note provides instructions on how to treat and prevent cytospora canker of planted poplars.,"Partridge, Arthur D.",,1966-12-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 4, December 1966","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn04,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/57,57,150.pdf,/fwres/image/150.pdf
Idaho's Forest Products Industry: Current Conditions and Forecast 2002,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry. The report includes several illustrative graphs.","Keegan, Charles E. III; Morgan, Todd A.; Wagner, Francis G.; Pavia, Joey K.; Shook, Steven R.; Blatner, Keith A.",,2002-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 77,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb77,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/58,58,151.pdf,/fwres/image/151.pdf
